
   INFO  Server running on [http://127.0.0.1:8004].  

  Press Ctrl+C to stop the server

  2026-08-31 12:28:23 /api/v1/notifications/1000018/unread-count ......................................... ~ 529.50ms
  2026-08-31 12:29:07 /api/v1/auth/login ................................................................. ~ 518.07ms
  2026-08-31 12:30:07 /api/v1/organizations/1000018 ...................................................... ~ 506.98ms
  2026-08-31 12:30:09 /api/v1/organizations/1000018/1000018/structure .................................... ~ 513.40ms
  2026-08-31 12:30:10 /api/v1/ingestion/sources/1000018 .................................................... ~ 0.40ms
  2026-08-31 12:30:10 /api/v1/capabilities/1000018 ....................................................... ~ 517.25ms
  2026-08-31 12:30:36 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-31 12:30:37 /api/v1/notifications/1000018/unread-count .......................................... ~ 13.52ms
  2026-08-31 12:30:38 /api/v1/ingestion/sources/1000018 .................................................... ~ 0.45ms
  2026-08-31 12:30:38 /api/v1/ingestion/sources/1000018 .................................................. ~ 518.38ms
  2026-08-31 12:30:57 /api/v1/departments/1000018/intelligence ............................................ ~ 17.59ms
  2026-08-31 12:30:57 /api/v1/departments/1000018/intelligence ................................................. ~ 1s
  2026-08-31 12:34:37 /api/v1/notifications/1000018/unread-count ......................................... ~ 510.41ms
  2026-08-31 12:38:37 /api/v1/notifications/1000018/unread-count ......................................... ~ 533.73ms
  2026-08-31 12:39:02 /api/v1/departments/1000018/summary ...................................................... ~ 4s
  2026-08-31 12:40:37 /api/v1/notifications/1000018/unread-count ........................................... ~ 1.11ms
  2026-08-31 12:44:45 /api/v1/notifications/1000018/unread-count .......................................... ~ 16.77ms
  2026-08-31 12:46:46 /api/v1/auth/refresh ............................................................... ~ 519.94ms
  2026-08-31 12:48:37 /api/v1/notifications/1000018/unread-count ......................................... ~ 505.46ms
  2026-08-31 12:52:28 /api/v1/organizations/1000018 ...................................................... ~ 531.22ms
  2026-08-31 12:52:28 /api/v1/departments/1000018/summary ...................................................... ~ 2s
  2026-08-31 12:52:30 /api/v1/departments/1000018 .............................................................. ~ 1s
  2026-08-31 12:52:38 /api/v1/departments/1000018/summary ................................................ ~ 502.42ms
  2026-08-31 12:52:38 /api/v1/organizations/1000018 ...................................................... ~ 509.97ms
  2026-08-31 12:52:39 /api/v1/organizations/1000018/1000018/structure ..................................... ~ 17.16ms
  2026-08-31 12:52:47 /api/v1/auth/logout ................................................................. ~ 16.83ms
  2026-08-31 13:13:46 /api/v1/workspace/1000018/home-metrics ............................................. ~ 522.32ms
  2026-08-31 13:13:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.52ms
  2026-08-31 13:13:49 /api/v1/ingestion/sources/1000018 ................................................... ~ 15.43ms
  2026-08-31 13:13:49 /api/v1/ingestion/sources/1000018 .................................................. ~ 522.85ms
  2026-08-31 13:14:49 /api/v1/organizations/1000018/1000018/structure .................................... ~ 505.23ms
  2026-08-31 13:17:48 /api/v1/notifications/1000018/unread-count ......................................... ~ 533.78ms
  2026-08-31 13:21:06 /api/v1/operations/1000000/overview ................................................ ~ 514.17ms
  2026-08-31 13:21:07 /api/v1/departments/1000000/1982/twin ................................................ ~ 0.46ms
  2026-08-31 13:21:10 /api/v1/operations/8/loop .......................................................... ~ 505.85ms
  2026-08-31 13:21:19 /api/v1/feature-flags/test-tenant .................................................. ~ 534.67ms
  2026-08-31 13:21:20 /api/v1/navigation/test-tenant ..................................................... ~ 516.83ms
  2026-08-31 13:21:20 /api/v1/navigation/test-tenant ....................................................... ~ 0.19ms
  2026-08-31 13:21:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 6.27ms
  2026-08-31 13:22:12 /api/v1/operations/1000000/overview ................................................. ~ 18.33ms
  2026-08-31 13:22:13 /api/v1/operations/1000000/overview ................................................ ~ 519.25ms
  2026-08-31 13:22:18 /api/v1/operations/8/loop ........................................................... ~ 17.55ms
  2026-08-31 13:22:26 /api/v1/navigation/test-tenant ....................................................... ~ 0.55ms
  2026-08-31 13:22:26 /api/v1/navigation/test-tenant ..................................................... ~ 517.49ms
  2026-08-31 13:22:26 /api/v1/feature-flags/test-tenant .................................................. ~ 518.95ms
  2026-08-31 13:22:46 /api/v1/operations/1000000/overview ................................................ ~ 532.70ms
  2026-08-31 13:22:50 /api/v1/departments/1000000/1982/twin ................................................ ~ 0.57ms
  2026-08-31 13:22:51 /api/v1/departments/1000000/1982/twin .............................................. ~ 527.34ms
  2026-08-31 13:22:57 /api/v1/feature-flags/test-tenant .................................................. ~ 509.43ms
  2026-08-31 13:22:59 /api/v1/terminology/test-tenant ...................................................... ~ 1.31ms
  2026-08-31 13:22:59 /api/v1/terminology/test-tenant .................................................... ~ 501.78ms
  2026-08-31 13:23:08 /api/v1/operations/1000000/overview ................................................ ~ 526.00ms
  2026-08-31 13:25:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.60ms
  2026-08-31 13:29:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.43ms
  2026-08-31 14:09:08 /api/v1/notifications/1000018/unread-count ........................................... ~ 1.22ms
  2026-08-31 14:09:08 /api/v1/notifications/1000018/unread-count ......................................... ~ 517.57ms
  2026-08-31 14:09:09 /api/v1/operations/1000018/overview .................................................. ~ 0.32ms
