
   INFO  Server running on [http://127.0.0.1:8003].  

  Press Ctrl+C to stop the server

  2026-08-31 12:27:51 /api/v1/auth/login ................................................................. ~ 527.37ms
  2026-08-31 12:29:06 /api/v1/auth/login ................................................................. ~ 517.35ms
  2026-08-31 12:30:07 /api/v1/notifications/1000018/unread-count ......................................... ~ 507.34ms
  2026-08-31 12:30:09 /api/v1/workspace/1000018/home-metrics ............................................. ~ 513.33ms
  2026-08-31 12:30:10 /api/v1/capabilities/1000018 ......................................................... ~ 0.61ms
  2026-08-31 12:30:10 /api/v1/ingestion/sources/1000018 .................................................. ~ 517.39ms
  2026-08-31 12:30:36 /api/v1/auth/login ................................................................... ~ 0.45ms
  2026-08-31 12:30:37 /api/v1/organizations/1000018/1000018/structure ..................................... ~ 16.89ms
  2026-08-31 12:30:38 /api/v1/capabilities/1000018 ......................................................... ~ 0.49ms
  2026-08-31 12:30:38 /api/v1/organizations/1000018 ...................................................... ~ 518.26ms
  2026-08-31 12:30:57 /api/v1/departments/1000018/summary ................................................. ~ 17.77ms
  2026-08-31 12:30:57 /api/v1/departments/1000018/summary ................................................ ~ 502.01ms
  2026-08-31 12:34:37 /api/v1/notifications/1000018/unread-count .......................................... ~ 17.17ms
  2026-08-31 12:38:37 /api/v1/notifications/1000018/unread-count .......................................... ~ 18.02ms
  2026-08-31 12:39:02 /api/v1/departments/1000018 ........................................................ ~ 527.56ms
  2026-08-31 12:40:37 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.90ms
  2026-08-31 12:44:45 /api/v1/notifications/1000018/unread-count .......................................... ~ 16.81ms
  2026-08-31 12:46:46 /api/v1/auth/refresh ................................................................. ~ 0.62ms
  2026-08-31 12:48:37 /api/v1/notifications/1000018/unread-count .......................................... ~ 16.28ms
  2026-08-31 12:52:28 /api/v1/notifications/1000018/unread-count ......................................... ~ 531.93ms
  2026-08-31 12:52:28 /api/v1/departments/1000018 ........................................................ ~ 520.58ms
  PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\Users\omshivay\Desktop\ADK\hp-enterprise-brain\vendor\laravel\framework\src\Illuminate\Database\Connection.php on line 414
  2026-08-31 12:52:29 /api/v1/departments/1000018/intelligence ............................................ ~ 21m 16s
  2026-08-31 13:13:46 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.13ms
  2026-08-31 13:13:46 /api/v1/departments/1000018/intelligence ............................................. ~ 0.78ms
  2026-08-31 13:13:46 /api/v1/workspace/1000018/home-metrics ............................................... ~ 0.79ms
  2026-08-31 13:13:46 /api/v1/auth/logout ................................................................ ~ 500.81ms
  2026-08-31 13:13:46 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-31 13:13:48 /api/v1/organizations/1000018/1000018/structure .................................... ~ 501.63ms
  2026-08-31 13:13:49 /api/v1/capabilities/1000018 ........................................................ ~ 15.96ms
  2026-08-31 13:13:49 /api/v1/capabilities/1000018 ....................................................... ~ 522.63ms
  2026-08-31 13:14:49 /api/v1/organizations/1000018/1000018/structure ...................................... ~ 0.28ms
  2026-08-31 13:17:48 /api/v1/notifications/1000018/unread-count .......................................... ~ 18.41ms
  2026-08-31 13:21:06 /api/v1/departments/1000000/1982/twin ................................................ ~ 0.59ms
  2026-08-31 13:21:07 /api/v1/departments/1000000/1982/twin .............................................. ~ 521.15ms
  2026-08-31 13:21:10 /api/v1/operations/8/loop ............................................................ ~ 0.37ms
  2026-08-31 13:21:19 /api/v1/feature-flags/test-tenant .................................................. ~ 511.64ms
  2026-08-31 13:21:20 /api/v1/terminology/test-tenant ...................................................... ~ 0.61ms
  2026-08-31 13:21:20 /api/v1/terminology/test-tenant .................................................... ~ 504.75ms
  2026-08-31 13:21:20 /api/v1/feature-flags/test-tenant .................................................. ~ 506.03ms
  2026-08-31 13:22:12 /api/v1/operations/1000000/overview .................................................. ~ 2.51ms
  2026-08-31 13:22:13 /api/v1/departments/1000000/1982/twin .............................................. ~ 521.44ms
  2026-08-31 13:22:17 /api/v1/operations/8/loop ............................................................ ~ 1.87ms
  2026-08-31 13:22:26 /api/v1/terminology/test-tenant .................................................... ~ 519.52ms
  2026-08-31 13:22:26 /api/v1/terminology/test-tenant ...................................................... ~ 0.20ms
  2026-08-31 13:22:26 /api/v1/feature-flags/test-tenant .................................................... ~ 1.51ms
  2026-08-31 13:22:45 /api/v1/operations/1000000/overview ................................................. ~ 16.53ms
  2026-08-31 13:22:50 /api/v1/operations/8/loop ............................................................ ~ 0.49ms
  2026-08-31 13:22:50 /api/v1/operations/8/loop ........................................................... ~ 17.42ms
  2026-08-31 13:22:57 /api/v1/feature-flags/test-tenant .................................................. ~ 507.96ms
  2026-08-31 13:22:57 /api/v1/feature-flags/test-tenant .................................................... ~ 0.22ms
  2026-08-31 13:22:59 /api/v1/navigation/test-tenant ....................................................... ~ 1.39ms
  2026-08-31 13:22:59 /api/v1/navigation/test-tenant ..................................................... ~ 501.70ms
  2026-08-31 13:23:48 /api/v1/notifications/1000018/unread-count ......................................... ~ 526.71ms
  2026-08-31 13:27:48 /api/v1/notifications/1000018/unread-count ........................................... ~ 0.26ms
  2026-08-31 14:09:07 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-31 14:09:08 /api/v1/workspace/1000018/home-metrics ................................................... ~ 1s
  2026-08-31 14:09:09 /api/v1/ingestion/sources/1000018 .................................................... ~ 0.20ms
