
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-08-22 13:22:01 /api/v1/notifications/1000010/unread-count ......................................... ~ 519.15ms
  2026-08-22 13:22:01 /api/v1/auth/login ................................................................. ~ 500.73ms
  2026-08-22 13:22:02 /api/v1/notifications/1000010/unread-count ........................................... ~ 0.45ms
  2026-08-22 13:22:05 /api/v1/auth/login ................................................................... ~ 1.55ms
  2026-08-22 13:36:02 /api/v1/notifications/1000010/unread-count ......................................... ~ 513.45ms
  2026-08-22 13:36:05 /api/v1/organizations/1000010 ...................................................... ~ 513.34ms
  2026-08-22 13:36:41 /api/v1/auth/login .................................................................. ~ 14.50ms
  2026-08-22 13:36:42 /api/v1/organizations/1000010/1000010/structure ..................................... ~ 16.87ms
  2026-08-22 13:36:43 /api/v1/workspace/1000010/home-metrics ............................................. ~ 514.49ms
  2026-08-22 13:36:43 /api/v1/ingestion/sources/1000010 ................................................... ~ 16.49ms
  2026-08-22 13:38:06 /api/v1/notifications/1000010/unread-count .......................................... ~ 16.20ms
  2026-08-22 13:38:07 /api/v1/notifications/1000010/unread-count ........................................... ~ 0.37ms
  2026-08-22 13:40:48 /api/v1/notifications/1000010/unread-count ........................................... ~ 0.24ms
  2026-08-22 13:40:48 /api/v1/graph/1000010/overview ..................................................... ~ 516.20ms
  2026-08-22 13:44:41 /api/v1/graph/1000010/node ......................................................... ~ 529.94ms
  2026-08-22 13:46:48 /api/v1/notifications/1000010/unread-count ......................................... ~ 523.00ms
  2026-08-22 13:51:39 /api/v1/graph/1000010/overview ..................................................... ~ 504.64ms
  2026-08-22 13:51:40 /api/v1/organizations/1000010 ........................................................... ~ 10m
  2026-08-22 14:01:45 /api/v1/graph/1000010/overview ....................................................... ~ 0.29ms
  2026-08-22 14:01:46 /api/v1/auth/refresh ................................................................. ~ 0.31ms
  2026-08-22 14:01:47 /api/v1/notifications/1000010/unread-count ......................................... ~ 515.38ms
  2026-08-22 14:03:44 /api/v1/notifications/1000010/unread-count ......................................... ~ 519.98ms
  2026-08-22 14:10:49 /api/v1/graph/1000010/overview ........................................................... ~ 1s
  2026-08-22 14:10:50 /api/v1/notifications/1000010/unread-count ......................................... ~ 525.49ms
  2026-08-22 14:14:49 /api/v1/organizations/1000010 ...................................................... ~ 514.69ms
  2026-08-22 14:15:31 /api/v1/graph/1000010/expand ....................................................... ~ 531.73ms
  2026-08-22 14:15:34 /api/v1/graph/1000010/expand ....................................................... ~ 530.18ms
  2026-08-22 14:15:38 /api/v1/graph/1000010/expand ....................................................... ~ 508.95ms
  2026-08-22 14:15:40 /api/v1/graph/1000010/expand ....................................................... ~ 531.71ms
  2026-08-22 14:15:43 /api/v1/graph/1000010/expand ....................................................... ~ 531.56ms
  2026-08-22 14:15:48 /api/v1/graph/1000010/expand ............................................................. ~ 1s
  2026-08-22 14:15:51 /api/v1/graph/1000010/expand ....................................................... ~ 530.92ms
  2026-08-22 14:15:53 /api/v1/graph/1000010/overview ..................................................... ~ 519.04ms
  2026-08-22 14:15:55 /api/v1/graph/1000010/expand ....................................................... ~ 517.97ms
  2026-08-22 14:15:58 /api/v1/graph/1000010/expand ....................................................... ~ 530.92ms
  2026-08-22 14:16:00 /api/v1/graph/1000010/expand ....................................................... ~ 519.44ms
  2026-08-22 14:16:03 /api/v1/graph/1000010/expand ....................................................... ~ 531.31ms
  2026-08-22 14:16:06 /api/v1/graph/1000010/expand ....................................................... ~ 532.26ms
  2026-08-22 14:57:24 /api/v1/auth/login ....................................................................... ~ 2s
  2026-08-22 14:57:26 /api/v1/organizations/1000010 ........................................................ ~ 0.53ms
  2026-08-22 14:57:27 /api/v1/notifications/1000010/unread-count ......................................... ~ 508.42ms
  2026-08-22 14:57:28 /api/v1/capabilities/1000010 ......................................................... ~ 1.11ms
  2026-08-22 15:00:13 /api/v1/workspace/1000010/home-metrics ............................................. ~ 504.53ms
  2026-08-22 15:00:14 /api/v1/notifications/1000010/unread-count ......................................... ~ 525.53ms
  2026-08-22 15:00:15 /api/v1/ingestion/sources/1000010 .................................................. ~ 519.51ms
  2026-08-22 15:00:17 /api/v1/graph/1000010/overview ..................................................... ~ 502.71ms
  2026-08-22 15:01:12 /api/v1/workspace/1000010/home-metrics ............................................... ~ 0.79ms
  2026-08-22 15:01:12 /api/v1/notifications/1000010/unread-count ......................................... ~ 502.09ms
  2026-08-22 15:01:14 /api/v1/ingestion/sources/1000010 .................................................. ~ 515.25ms
  2026-08-22 15:02:32 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-22 15:02:33 /api/v1/organizations/1000010 ........................................................ ~ 0.17ms
  2026-08-22 15:02:33 /api/v1/notifications/1000010/unread-count ......................................... ~ 498.75ms
  2026-08-22 15:02:34 /api/v1/capabilities/1000010 ......................................................... ~ 0.62ms
  2026-08-22 15:03:33 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-22 15:03:34 /api/v1/organizations/1000010 ...................................................... ~ 508.77ms
  2026-08-22 15:03:35 /api/v1/organizations/1000010 ........................................................ ~ 0.15ms
  2026-08-22 15:03:35 /api/v1/capabilities/1000010 ........................................................ ~ 16.29ms
  2026-08-22 15:07:15 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-22 15:07:16 /api/v1/organizations/1000010 ...................................................... ~ 512.27ms
  2026-08-22 15:07:16 /api/v1/notifications/1000010/unread-count ........................................... ~ 0.17ms
  2026-08-22 15:07:17 /api/v1/ingestion/sources/1000010 .................................................. ~ 518.43ms
  2026-08-22 15:07:20 /api/v1/graph/1000010/node ......................................................... ~ 517.06ms
  2026-08-22 15:07:27 /api/v1/graph/1000010/node ......................................................... ~ 524.14ms
  2026-08-22 15:08:17 /api/v1/graph/1000010/node ........................................................... ~ 0.51ms
  2026-08-22 15:09:15 /api/v1/graph/1000010/overview .......................................................... ~ 20s
  2026-08-22 15:09:47 /api/v1/graph/1000010/node ........................................................... ~ 1.08ms
  2026-08-22 15:09:57 /api/v1/graph/1000010/node ......................................................... ~ 531.75ms
  2026-08-22 15:11:16 /api/v1/notifications/1000010/unread-count ......................................... ~ 502.83ms
  2026-08-22 15:11:20 /api/v1/capabilities/1000010 ......................................................... ~ 0.58ms
  2026-08-22 15:11:40 /api/v1/eso-definitions/1000010 .......................................................... ~ 1s
  2026-08-22 15:22:08 /api/v1/notifications/1000010/unread-count ......................................... ~ 505.02ms
  2026-08-22 15:22:09 /api/v1/organizations/1000010 ...................................................... ~ 513.29ms
  2026-08-22 15:24:10 /api/v1/notifications/1000010/unread-count ......................................... ~ 503.27ms
